arrival_date,modal_price
26-03-2012,2125
27-03-2012,2250
28-03-2012,2125
29-03-2012,2375
30-03-2012,1875
31-03-2012,1900
01-04-2012,2500
02-04-2012,1850
03-04-2012,1875
04-04-2012,1650
05-04-2012,1875
06-04-2012,4500
07-04-2012,4300
08-04-2012,4500
09-04-2012,1600
10-04-2012,1550
11-04-2012,1500
12-04-2012,1450
13-04-2012,1450
14-04-2012,4000
15-04-2012,4000
16-04-2012,2400
17-04-2012,1100
18-04-2012,1350
19-04-2012,1375
20-04-2012,1250
21-04-2012,1400
22-04-2012,2500
23-04-2012,1300
24-04-2012,1350
25-04-2012,1450
26-04-2012,1450
27-04-2012,1500
28-04-2012,1500
29-04-2012,1300
30-04-2012,1375
01-05-2012,1500
02-05-2012,4500
03-05-2012,4250
04-05-2012,4000
05-05-2012,4250
06-05-2012,2500
07-05-2012,4250
08-05-2012,4000
09-05-2012,4750
10-05-2012,4000
11-05-2012,2800
12-05-2012,3750
13-05-2012,2700
14-05-2012,2700
15-05-2012,2700
16-05-2012,2700
17-05-2012,3000
18-05-2012,2875
19-05-2012,550
20-05-2012,2700
21-05-2012,1200
22-05-2012,3000
23-05-2012,3000
24-05-2012,2750
25-05-2012,2750
26-05-2012,2500
27-05-2012,1000
28-05-2012,2500
29-05-2012,2500
30-05-2012,2250
31-05-2012,2500
01-06-2012,3750
02-06-2012,3750
03-06-2012,4125
04-06-2012,4375
05-06-2012,4250
06-06-2012,4000
07-06-2012,3875
08-06-2012,1800
09-06-2012,3375
10-06-2012,3375
11-06-2012,2625
12-06-2012,3000
13-06-2012,3750
14-06-2012,3750
15-06-2012,4125
16-06-2012,3750
17-06-2012,4000
18-06-2012,4125
19-06-2012,2625
20-06-2012,2750
21-06-2012,2750
22-06-2012,2500
23-06-2012,1250
24-06-2012,700
25-06-2012,2750
26-06-2012,2500
27-06-2012,2500
28-06-2012,2750
29-06-2012,3125
30-06-2012,2875
01-07-2012,1300
02-07-2012,3000
03-07-2012,3000
04-07-2012,3000
05-07-2012,3000
06-07-2012,1375
07-07-2012,1450
08-07-2012,400
09-07-2012,1450
10-07-2012,1400
11-07-2012,1550
12-07-2012,1500
13-07-2012,1900
14-07-2012,1850
15-07-2012,800
16-07-2012,1875
17-07-2012,1875
18-07-2012,2125
19-07-2012,2125
20-07-2012,700
21-07-2012,800
22-07-2012,800
23-07-2012,600
24-07-2012,800
25-07-2012,600
26-07-2012,1000
27-07-2012,900
28-07-2012,1000
29-07-2012,600
30-07-2012,1000
31-07-2012,2000
01-08-2012,1800
02-08-2012,1800
03-08-2012,1800
04-08-2012,1600
05-08-2012,2000
06-08-2012,740
07-08-2012,1200
08-08-2012,1800
09-08-2012,700
10-08-2012,700
11-08-2012,1000
12-08-2012,1000
13-08-2012,0
14-08-2012,2000
15-08-2012,2000
16-08-2012,1000
17-08-2012,2200
18-08-2012,2200
19-08-2012,2500
20-08-2012,900
21-08-2012,2800
22-08-2012,3000
23-08-2012,3500
24-08-2012,1300
25-08-2012,0
26-08-2012,1500
27-08-2012,3850
28-08-2012,1300
29-08-2012,1200
30-08-2012,4900
31-08-2012,4000
01-09-2012,5300
02-09-2012,
03-09-2012,3700
04-09-2012,3400
05-09-2012,3300
06-09-2012,3075
07-09-2012,2625
08-09-2012,3900
09-09-2012,2625
10-09-2012,3000
11-09-2012,2150
12-09-2012,2150
13-09-2012,2150
14-09-2012,2000
15-09-2012,2000
16-09-2012,
17-09-2012,2250
18-09-2012,3000
19-09-2012,3000
20-09-2012,2350
21-09-2012,2350
22-09-2012,2500
23-09-2012,2500
24-09-2012,2500
25-09-2012,2250
26-09-2012,2250
27-09-2012,3500
28-09-2012,8500
29-09-2012,3200
30-09-2012,
01-10-2012,2000
02-10-2012,1925
03-10-2012,7500
04-10-2012,2750
05-10-2012,2800
06-10-2012,2300
07-10-2012,2300
08-10-2012,2300
09-10-2012,2250
10-10-2012,6500
11-10-2012,2250
12-10-2012,4750
13-10-2012,1800
14-10-2012,1800
15-10-2012,4850
16-10-2012,1375
17-10-2012,5250
18-10-2012,5500
19-10-2012,4500
20-10-2012,1550
21-10-2012,1550
22-10-2012,1825
23-10-2012,1625
24-10-2012,1550
25-10-2012,3500
26-10-2012,1800
27-10-2012,1800
28-10-2012,1800
29-10-2012,3800
30-10-2012,1800
31-10-2012,1800
01-11-2012,2125
02-11-2012,2125
03-11-2012,1800
04-11-2012,1800
05-11-2012,2050
06-11-2012,1900
07-11-2012,1950
08-11-2012,5000
09-11-2012,4500
10-11-2012,4250
11-11-2012,2050
12-11-2012,5500
13-11-2012,2050
14-11-2012,3800
15-11-2012,4500
16-11-2012,1800
17-11-2012,2050
18-11-2012,2050
19-11-2012,1875
20-11-2012,1800
21-11-2012,1550
22-11-2012,1625
23-11-2012,1550
24-11-2012,1300
25-11-2012,1550
26-11-2012,1550
27-11-2012,4500
28-11-2012,4500
29-11-2012,2050
30-11-2012,5500
01-12-2012,5500
02-12-2012,1300
03-12-2012,1800
04-12-2012,1800
05-12-2012,4250
06-12-2012,1800
07-12-2012,5250
08-12-2012,1625
09-12-2012,1300
10-12-2012,1375
11-12-2012,4750
12-12-2012,4250
13-12-2012,3300
14-12-2012,3500
15-12-2012,4000
16-12-2012,1450
17-12-2012,3300
18-12-2012,4500
19-12-2012,4750
20-12-2012,4500
21-12-2012,5250
22-12-2012,4250
23-12-2012,1750
24-12-2012,1625
25-12-2012,1625
26-12-2012,1650
27-12-2012,1800
28-12-2012,1800
29-12-2012,6500
30-12-2012,
31-12-2012,2050
01-01-2013,2050
02-01-2013,6500
03-01-2013,5500
04-01-2013,6250
05-01-2013,5500
06-01-2013,1900
07-01-2013,1800
08-01-2013,5500
09-01-2013,6250
10-01-2013,1875
11-01-2013,5500
12-01-2013,5500
13-01-2013,1700
14-01-2013,3600
15-01-2013,9500
16-01-2013,9500
17-01-2013,10250
18-01-2013,12750
19-01-2013,10500
20-01-2013,1425
21-01-2013,1750
22-01-2013,7500
23-01-2013,6500
24-01-2013,2250
25-01-2013,4000
26-01-2013,2250
27-01-2013,2125
28-01-2013,4000
29-01-2013,9500
30-01-2013,7000
31-01-2013,10500
01-02-2013,8000
02-02-2013,4500
03-02-2013,3000
04-02-2013,7250
05-02-2013,7250
06-02-2013,6250
07-02-2013,6500
08-02-2013,5750
09-02-2013,6250
10-02-2013,2250
11-02-2013,3500
12-02-2013,6500
13-02-2013,6000
14-02-2013,5500
15-02-2013,5500
16-02-2013,4250
17-02-2013,2500
18-02-2013,3000
19-02-2013,5500
20-02-2013,4500
21-02-2013,4000
22-02-2013,4000
23-02-2013,3750
24-02-2013,3500
25-02-2013,2800
26-02-2013,3000
27-02-2013,2750
28-02-2013,2750
01-03-2013,2300
02-03-2013,2300
03-03-2013,4000
04-03-2013,2850
05-03-2013,2750
06-03-2013,2625
07-03-2013,2250
08-03-2013,2250
09-03-2013,2250
10-03-2013,3000
11-03-2013,2000
12-03-2013,2250
13-03-2013,2075
14-03-2013,2000
15-03-2013,2000
16-03-2013,2050
17-03-2013,1500
18-03-2013,1750
19-03-2013,1750
20-03-2013,2000
21-03-2013,2000
22-03-2013,2000
23-03-2013,2000
24-03-2013,10000
25-03-2013,2000
26-03-2013,1875
27-03-2013,2000
28-03-2013,1750
29-03-2013,1875
30-03-2013,1750
31-03-2013,1600
01-04-2013,1750
02-04-2013,1750
03-04-2013,1750
04-04-2013,1750
05-04-2013,1750
06-04-2013,1500
07-04-2013,1100
08-04-2013,1750
09-04-2013,1750
10-04-2013,1800
11-04-2013,3800
12-04-2013,2000
13-04-2013,1450
14-04-2013,1100
15-04-2013,1500
16-04-2013,1000
17-04-2013,1125
18-04-2013,2875
19-04-2013,1600
20-04-2013,2750
21-04-2013,900
22-04-2013,2750
23-04-2013,2875
24-04-2013,2875
25-04-2013,2750
26-04-2013,2750
27-04-2013,2625
28-04-2013,800
29-04-2013,2625
30-04-2013,2625
01-05-2013,2750
02-05-2013,3000
03-05-2013,3000
04-05-2013,3000
05-05-2013,700
06-05-2013,2875
07-05-2013,2875
08-05-2013,2625
09-05-2013,2625
10-05-2013,2875
11-05-2013,3125
12-05-2013,1300
13-05-2013,2500
14-05-2013,2750
15-05-2013,2750
16-05-2013,2750
17-05-2013,2500
18-05-2013,2500
19-05-2013,850
20-05-2013,2375
21-05-2013,2250
22-05-2013,2250
23-05-2013,2250
24-05-2013,2250
25-05-2013,2250
26-05-2013,2200
27-05-2013,2125
28-05-2013,1950
29-05-2013,2000
30-05-2013,1875
31-05-2013,2000
01-06-2013,2000
02-06-2013,2000
03-06-2013,2000
04-06-2013,2000
05-06-2013,2000
06-06-2013,2000
07-06-2013,2000
08-06-2013,1500
09-06-2013,2500
10-06-2013,2000
11-06-2013,1200
12-06-2013,1500
13-06-2013,2000
14-06-2013,1875
15-06-2013,2150
16-06-2013,1500
17-06-2013,1625
18-06-2013,1625
19-06-2013,1700
20-06-2013,663
21-06-2013,750
22-06-2013,1500
23-06-2013,2000
24-06-2013,2000
25-06-2013,2000
26-06-2013,2000
27-06-2013,2000
28-06-2013,2000
29-06-2013,1500
30-06-2013,1500
01-07-2013,2000
02-07-2013,1500
03-07-2013,2000
04-07-2013,2000
05-07-2013,1500
06-07-2013,1125
07-07-2013,1500
08-07-2013,1250
09-07-2013,1250
10-07-2013,1300
11-07-2013,4000
12-07-2013,0
13-07-2013,2125
14-07-2013,1500
15-07-2013,4000
16-07-2013,1500
17-07-2013,1500
18-07-2013,1500
19-07-2013,1500
20-07-2013,1500
21-07-2013,1500
22-07-2013,4200
23-07-2013,2000
24-07-2013,4000
25-07-2013,2000
26-07-2013,2000
27-07-2013,1100
28-07-2013,2000
29-07-2013,1800
30-07-2013,2000
31-07-2013,2500
01-08-2013,2500
02-08-2013,2500
03-08-2013,2500
04-08-2013,2500
05-08-2013,3400
06-08-2013,3000
07-08-2013,3000
08-08-2013,3000
09-08-2013,3500
10-08-2013,3400
11-08-2013,
12-08-2013,3800
13-08-2013,3800
14-08-2013,3800
15-08-2013,3900
16-08-2013,3300
17-08-2013,3350
18-08-2013,
19-08-2013,3300
20-08-2013,3300
21-08-2013,3500
22-08-2013,3000
23-08-2013,3650
24-08-2013,3800
25-08-2013,
26-08-2013,5000
27-08-2013,3650
28-08-2013,4400
29-08-2013,3350
30-08-2013,3450
31-08-2013,4650
01-09-2013,
