date,MINUTES,cloud,cloud_level,day,dewp,fog,gust,hail,max,min,month,mxspd,prcp,rh,slp,snow,snowdiff,snowf,sst,sstorm,stp,sun,temp,tstorm,visib,wddir,wet_bulb,wmoid,year
1961-01-30,,,,30,10.555555555555557,1.0,,0.0,16.11111111111111,11.111111111111107,1,2.1092222222204,0.0,,1011.5,0.0,0.0,0.0,,0.0,,,13.555555555555555,0.0,5.149900800000001,,,42097,1961
1961-01-31,,,,31,10.333333333333334,1.0,,0.0,13.888888888888893,10.0,1,0.9774444444436,0.254,,1014.2,0.0,0.0,0.0,,0.0,,,12.666666666666664,0.0,3.5405568000000005,,,42097,1961
1961-02-01,,,,1,9.38888888888889,0.0,,0.0,13.888888888888893,8.888888888888891,2,0.9774444444436,0.508,,1013.7,0.0,0.0,0.0,,0.0,,,12.5,0.0,8.529523199999998,,,42097,1961
1961-02-02,,,,2,8.444444444444446,0.0,,0.0,13.888888888888893,10.0,2,5.092999999995599,2.032,,1015.2,0.0,0.0,0.0,,0.0,,,11.666666666666668,0.0,9.1732608,,,42097,1961
1961-02-03,,,,3,7.444444444444446,,,,14.444444444444446,9.444444444444446,2,3.0352222222195997,1.27,,1012.95,,,,,,,,11.500000000000002,,,,,42097,1961
1961-02-04,,,,4,6.4444444444444455,0.0,,0.0,15.0,8.888888888888891,2,0.9774444444436,0.508,,1010.7,0.0,,0.0,,0.0,,,11.333333333333336,0.0,7.563916800000001,,,42097,1961
1961-02-05,,,,5,5.37037037037037,,,,14.629629629629632,7.222222222222224,2,0.9774444444436,0.508,,1012.0,,,,,,,,10.148148148148149,,,,,42097,1961
1961-02-06,,,,6,4.296296296296296,,,,14.259259259259261,5.555555555555557,2,0.9774444444436,0.508,,1013.3000000000001,,,,,,,,8.962962962962964,,,,,42097,1961
1961-02-07,,,,7,3.222222222222221,1.0,,0.0,13.888888888888893,3.888888888888889,2,0.9774444444436,0.508,,1014.6,0.0,,0.0,,0.0,,,7.777777777777778,0.0,6.9201792,,,42097,1961
1961-02-08,,,,8,1.9444444444444449,0.0,,0.0,16.11111111111111,3.888888888888889,2,0.9774444444436,0.0,,1020.5,0.0,0.0,0.0,,0.0,,,9.444444444444443,0.0,6.9201792,,,42097,1961
1961-02-09,,,,9,2.638888888888889,,,,15.000000000000002,5.000000000000001,2,1.5433333333319998,0.0,,1018.05,,,,,,,,9.5,,,,,42097,1961
1961-02-10,,,,10,3.333333333333333,1.0,,0.0,13.888888888888893,6.1111111111111125,2,2.1092222222204,0.0,,1015.6,0.0,,0.0,,0.0,,,9.555555555555557,0.0,4.1842944000000015,,,42097,1961
