,timestamp,state,district,market,commodity,variety,arrival_date,min_price,max_price,modal_price
53,1619976905,Maharashtra,Latur,Udgir,Arhar (Tur/Red Gram)(Whole),Other,02/05/2021,6600,6650,6625
54,1619976905,Maharashtra,Latur,Udgir,Tamarind Fruit,Other,02/05/2021,5000,6400,5700
55,1619976905,Maharashtra,Nagpur,Katol,Arhar (Tur/Red Gram)(Whole),Other,02/05/2021,5850,6540,6125
56,1619976905,Maharashtra,Nagpur,Katol,Bengal Gram(Gram)(Whole),Other,02/05/2021,4300,5085,4698
57,1619976905,Maharashtra,Nagpur,Katol,Soyabean,Yellow,02/05/2021,5800,6970,6485
58,1619976905,Maharashtra,Nagpur,Katol,Wheat,Other,02/05/2021,1660,1661,1660
59,1619976905,Maharashtra,Pune,Dound,Bajra(Pearl Millet/Cumbu),Other,02/05/2021,1400,1700,1600
60,1619976905,Maharashtra,Pune,Dound,Jowar(Sorghum),Jowar ( White),02/05/2021,1800,1875,1800
61,1619976905,Maharashtra,Pune,Dound,Wheat,Maharashtra 2189,02/05/2021,1700,1875,1800
62,1619976905,Maharashtra,Pune,Junnar(Alephata),Onion,Other,02/05/2021,350,1400,750
63,1619976905,Maharashtra,Pune,Junnar(Alephata),Pomegranate,Other,02/05/2021,5500,15500,10500
64,1619976905,Maharashtra,Satara,Satara,Bhindi(Ladies Finger),Other,02/05/2021,1500,2000,1750
65,1619976905,Maharashtra,Satara,Satara,Bitter gourd,Other,02/05/2021,1000,1500,1250
66,1619976905,Maharashtra,Satara,Satara,Bottle gourd,Other,02/05/2021,600,800,700
67,1619976905,Maharashtra,Satara,Satara,Brinjal,Other,02/05/2021,1000,1500,1250
68,1619976905,Maharashtra,Satara,Satara,Cabbage,Other,02/05/2021,400,500,450
69,1619976905,Maharashtra,Satara,Satara,Carrot,Other,02/05/2021,1000,1500,1250
70,1619976905,Maharashtra,Satara,Satara,Cauliflower,Other,02/05/2021,2000,2500,2250
71,1619976905,Maharashtra,Satara,Satara,Chilly Capsicum,Other,02/05/2021,2000,2500,2250
72,1619976905,Maharashtra,Satara,Satara,Cucumbar(Kheera),Other,02/05/2021,800,1000,900
